ObservationDate,Confirmed
2020-09-03,6164696.0
2020-09-04,6215489.0
2020-09-05,6259090.0
2020-09-06,6290524.0
2020-09-07,6314709.0
2020-09-08,6341787.0
2020-09-09,6376499.0
2020-09-10,6411817.0
2020-09-11,6459319.0
2020-09-12,6500998.0
2020-09-13,6535200.0
2020-09-14,6569921.0
2020-09-15,6609359.0
2020-09-16,6647804.0
2020-09-17,6693139.0
2020-09-18,6742611.0
2020-09-19,6785510.0
2020-09-20,6824974.0
2020-09-21,6876947.0
2020-09-22,6917194.0
2020-09-23,6954983.0
2020-09-24,7002522.0
2020-09-25,7055591.0
2020-09-26,7100954.0
2020-09-27,7139320.0
2020-09-28,7172737.0
2020-09-29,7216874.0
2020-09-30,7257599.0
2020-10-01,7303372.0
2020-10-02,7358666.0
2020-10-03,7407533.0
2020-10-04,7443363.0
2020-10-05,7483088.0
2020-10-06,7528526.0
2020-10-07,7578497.0
2020-10-08,7637251.0
2020-10-09,7693895.0
2020-10-10,7749069.0
2020-10-11,7795104.0
2020-10-12,7837276.0
2020-10-13,7889687.0
2020-10-14,7949352.0
2020-10-15,8014474.0
2020-10-16,8083722.0
2020-10-17,8140579.0
2020-10-18,8190150.0
2020-10-19,8258130.0
2020-10-20,8320322.0
2020-10-21,8383002.0
2020-10-22,8459418.0
2020-10-23,8542177.0
2020-10-24,8625101.0
2020-10-25,8687797.0
2020-10-26,8755372.0
2020-10-27,8833326.0
2020-10-28,8912108.0
2020-10-29,9003619.0
2020-10-30,9103222.0
2020-10-31,9193017.0
2020-11-01,9297995.0
2020-11-02,9383950.0
2020-11-03,9511492.0
2020-11-04,9615479.0
2020-11-05,9744935.0
2020-11-06,9873221.0
2020-11-07,10001098.0
2020-11-08,10116194.0
2020-11-09,10203121.0
2020-11-10,10348449.0
2020-11-11,10495075.0
2020-11-12,10659914.0
2020-11-13,10840303.0
2020-11-14,11008064.0
2020-11-15,11144288.0
2020-11-16,11307233.0
2020-11-17,11471155.0
2020-11-18,11644332.0
2020-11-19,11835880.0
2020-11-20,12034177.0
2020-11-21,12213451.0
2020-11-22,12360235.0
2020-11-23,12534684.0
2020-11-24,12710198.0
2020-11-25,12893485.0
2020-11-26,13005807.0
2020-11-27,13213995.0
2020-11-28,13369528.0
2020-11-29,13509762.0
2020-11-30,13670332.0
2020-12-01,13858551.0
2020-12-02,14061108.0
2020-12-03,14284721.0
2020-12-04,14517506.0
2020-12-05,14733048.0
2020-12-06,14914060.0
2020-12-07,15108918.0
2020-12-08,15333410.0
2020-12-09,15555949.0
2020-12-10,15787464.0
2020-12-11,16027441.0
2020-12-12,16245026.0
2020-12-13,16432729.0
2020-12-14,16627550.0
2020-12-15,16836556.0
2020-12-16,17083256.0
2020-12-17,17322981.0
2020-12-18,17574950.0
2020-12-19,17766856.0
2020-12-20,17954675.0
2020-12-21,18153724.0
2020-12-22,18351735.0
2020-12-23,18581353.0
2020-12-24,18775557.0
2020-12-25,18873203.0
2020-12-26,19099491.0
2020-12-27,19255126.0
2020-12-28,19429760.0
2020-12-29,19630012.0
2020-12-30,19863696.0
2020-12-31,20099363.0
2021-01-01,20252991.0
2021-01-02,20553301.0
2021-01-03,20762047.0
2021-01-04,20946329.0
2021-01-05,21181440.0
2021-01-06,21436884.0
2021-01-07,21715174.0
2021-01-08,22010389.0
2021-01-09,22271084.0
2021-01-10,22484332.0
2021-01-11,22699326.0
2021-01-12,22926246.0
2021-01-13,23156608.0
2021-01-14,23392315.0
2021-01-15,23635046.0
2021-01-16,23836726.0
2021-01-17,24014508.0
2021-01-18,24157924.0
2021-01-19,24334630.0
2021-01-20,24517866.0
2021-01-21,24711684.0
2021-01-22,24902437.0
2021-01-23,25073050.0
2021-01-24,25204112.0
2021-01-25,25356081.0
2021-01-26,25503621.0
2021-01-27,25657566.0
2021-01-28,25826176.0
2021-01-29,25992744.0
2021-01-30,26135056.0
2021-01-31,26247053.0
2021-02-01,26382255.0
2021-02-02,26497588.0
2021-02-03,26619229.0
2021-02-04,26743204.0
2021-02-05,26877601.0
2021-02-06,26981588.0
2021-02-07,27071236.0
2021-02-08,27161551.0
2021-02-09,27257183.0
2021-02-10,27352360.0
2021-02-11,27458120.0
2021-02-12,27557758.0
2021-02-13,27644880.0
2021-02-14,27709901.0
2021-02-15,27764087.0
2021-02-16,27826806.0
2021-02-17,27896924.0
2021-02-18,27966848.0
2021-02-19,28046145.0
2021-02-20,28117670.0
2021-02-21,28174750.0
2021-02-22,28230970.0
2021-02-23,28303233.0
2021-02-24,28377965.0
2021-02-25,28455466.0
2021-02-26,28532812.0
2021-02-27,28597387.0
2021-02-28,28648744.0
2021-03-01,28706973.0
2021-03-02,28764033.0
2021-03-03,28831226.0
2021-03-04,28899277.0
2021-03-05,28965728.0
2021-03-06,29023931.0
2021-03-07,29064938.0
2021-03-08,29109974.0
2021-03-09,29167616.0
2021-03-10,29225536.0
2021-03-11,29288010.0
2021-03-12,29349533.0
2021-03-13,29402465.0
2021-03-14,29440686.0
2021-03-15,29497352.0
2021-03-16,29551309.0
2021-03-17,29610445.0
2021-03-18,29670983.0
2021-03-19,29732612.0
2021-03-20,29787986.0
2021-03-21,29821754.0
2021-03-22,29873347.0
2021-03-23,29926950.0
2021-03-24,30013910.0
2021-03-25,30081375.0
2021-03-26,30158696.0
2021-03-27,30221396.0
2021-03-28,30264493.0
2021-03-29,30333922.0
2021-03-30,30395171.0
2021-03-31,30462210.0
2021-04-01,30541255.0
2021-04-02,30611086.0
2021-04-03,30674153.0
2021-04-04,30709125.0
2021-04-05,30786804.0
2021-04-06,30847348.0
2021-04-07,30922386.0
2021-04-08,31002264.0
2021-04-09,31084962.0
2021-04-10,31151497.0
2021-04-11,31197877.0
2021-04-12,31268107.0
2021-04-13,31345985.0
2021-04-14,31421360.0
2021-04-15,31495649.0
2021-04-16,31575640.0
2021-04-17,31628013.0
2021-04-18,31670031.0
2021-04-19,31737964.0
2021-04-20,31799237.0
2021-04-21,31862094.0
2021-04-22,31929351.0
2021-04-23,31991750.0
2021-04-24,32045113.0
2021-04-25,32077178.0
2021-04-26,32124869.0
2021-04-27,32175725.0
2021-04-28,32230850.0
2021-04-29,32289049.0
2021-04-30,32346971.0
2021-05-01,32392274.0
2021-05-02,32421641.0
2021-05-03,32472201.0
2021-05-04,32512934.0
2021-05-05,32557669.0
2021-05-06,32605183.0
2021-05-07,32652472.0
2021-05-08,32686965.0
2021-05-09,32708357.0
2021-05-10,32745255.0
2021-05-11,32778906.0
2021-05-12,32814784.0
2021-05-13,32852871.0
2021-05-14,32895169.0
2021-05-15,32923982.0
2021-05-16,32940846.0
2021-05-17,32969512.0
2021-05-18,32997331.0
2021-05-19,33026624.0
2021-05-20,33056765.0
2021-05-21,33085106.0
2021-05-22,33104884.0
2021-05-23,33117737.0
2021-05-24,33143662.0
2021-05-25,33166418.0
2021-05-26,33190470.0
2021-05-27,33217995.0
2021-05-28,33239963.0
2021-05-29,33251939.0
